Name,Age,Gender,Skills,Wages (INR/day),Location,Pincode,Years of Experience,Education Level,Marital Status,Number of Dependents,Work Type
Udarsh Buch,51,Male,Welding,366-535,Jaipur,302001,12,Higher Secondary,Married,6,Full-Time
Amrita Dara,59,Female,Painting,358-548,Bangalore,560001,4,Secondary,Single,2,Part-Time
Panini Khanna,37,Male,Masonry,464-660,Jaipur,302001,1,Secondary,Widowed,2,Full-Time
Anvi Shankar,55,Female,Tailoring,531-640,Mumbai,400001,12,None,Widowed,0,Full-Time
Nachiket Dave,35,Female,Painting,498-793,Pune,411001,2,Higher Secondary,Single,1,Part-Time
Pooja Chana,41,Male,"Tailoring, Sewing",505-691,Kolkata,700001,6,None,Single,0,Full-Time
Deepa Vig,33,Male,Decorating,483-607,Bangalore,560001,6,Secondary,Married,5,Seasonal
Krisha Oza,42,Female,"Carpentry, Carpentry",305-553,Lucknow,226001,5,Primary,Widowed,0,Part-Time
Tristan Yogi,37,Male,Electrical Work,430-658,Kolkata,700001,5,Secondary,Single,0,Seasonal
Kai Bhagat,33,Male,"Sewing, Tailoring",320-585,Pune,411001,3,None,Single,2,Part-Time
Lavanya Parekh,53,Female,Painting,580-859,Kolkata,700001,4,Higher Secondary,Single,1,Seasonal
Chakradhar Iyer,43,Male,"Welding, Carpentry",399-664,Kolkata,700001,7,None,Married,3,Full-Time
Leela Ghose,56,Female,Sewing,454-733,Delhi,110001,10,None,Married,1,Seasonal
Janya Doshi,23,Male,"Welding, Painting",509-723,Bangalore,560001,6,Secondary,Married,0,Part-Time
Udyati Balakrishnan,49,Male,Tailoring,538-736,Mumbai,400001,20,None,Single,2,Full-Time
Wishi Chana,40,Male,Tailoring,436-556,Jaipur,302001,19,Higher Secondary,Single,0,Part-Time
Arunima Puri,35,Male,Painting,450-668,Chennai,600001,3,None,Single,0,Seasonal
Tristan Kulkarni,26,Female,Welding,402-576,Chennai,600001,9,Higher Secondary,Single,0,Full-Time
Xalak Master,50,Female,Painting,502-726,Mumbai,400001,4,None,Married,1,Part-Time
Siya Ganesh,42,Female,Welding,538-735,Bangalore,560001,18,Higher Secondary,Single,0,Seasonal
Kritika Minhas,42,Male,"Tailoring, Gardening",543-843,Bangalore,560001,5,Higher Secondary,Widowed,1,Part-Time
Chaitanya Aggarwal,34,Female,Cooking,413-546,Lucknow,226001,5,Secondary,Widowed,1,Full-Time
Unnati Master,40,Female,Decorating,334-437,Delhi,110001,19,Secondary,Single,1,Full-Time
Logan Kashyap,60,Male,Gardening,311-563,Lucknow,226001,16,None,Widowed,2,Full-Time
Gautam Jani,42,Male,Gardening,498-716,Hyderabad,500001,1,Secondary,Single,1,Part-Time
Max Chander,55,Male,Decorating,356-553,Hyderabad,500001,19,Secondary,Married,2,Full-Time
Mitali Srivastava,32,Female,Sewing,447-720,Lucknow,226001,7,Primary,Married,5,Full-Time
Christopher Chand,48,Female,Cooking,303-414,Mumbai,400001,16,Secondary,Married,5,Full-Time
Champak Khurana,48,Male,Plastering,388-543,Mumbai,400001,7,Primary,Single,0,Full-Time
Urvi Pradhan,20,Female,Painting,547-662,Bangalore,560001,1,Primary,Married,5,Part-Time
Reva Sibal,56,Male,Sewing,367-570,Chennai,600001,15,Higher Secondary,Single,2,Part-Time
Lopa Cheema,54,Male,Gardening,552-655,Bangalore,560001,17,None,Single,1,Part-Time
Rehaan Yadav,49,Male,Electrical Work,590-704,Hyderabad,500001,3,Higher Secondary,Widowed,0,Part-Time
Rayaan Shenoy,57,Female,Cooking,496-671,Kolkata,700001,1,Higher Secondary,Widowed,2,Seasonal
Unnati Bhakta,36,Male,Sewing,571-805,Chennai,600001,5,Secondary,Widowed,2,Part-Time
Azaan Mital,53,Female,Electrical Work,435-717,Bangalore,560001,8,None,Married,5,Part-Time
Ati Hayre,25,Male,Carpentry,579-845,Kolkata,700001,2,Primary,Married,1,Part-Time
Yashoda Bhatti,42,Male,Decorating,510-704,Lucknow,226001,4,None,Widowed,2,Seasonal
Jasmit Gola,30,Female,"Cooking, Welding",507-787,Chennai,600001,3,Primary,Widowed,1,Seasonal
Chandani Palla,47,Female,"Plumbing, Painting",460-613,Hyderabad,500001,19,Secondary,Married,1,Seasonal
Abhimanyu Dalal,48,Female,Cooking,457-560,Lucknow,226001,8,Secondary,Married,2,Seasonal
Ijaya Jain,37,Female,Gardening,422-568,Bangalore,560001,19,None,Married,4,Seasonal
Azaan Tiwari,41,Male,Electrical Work,480-595,Mumbai,400001,5,None,Widowed,0,Part-Time
Samarth Balasubramanian,37,Male,"Domestic Help, Gardening",385-521,Kolkata,700001,20,Higher Secondary,Married,6,Seasonal
Rayaan Ramachandran,35,Male,Tailoring,498-657,Chennai,600001,6,None,Widowed,0,Full-Time
Faris Kade,35,Male,Painting,351-473,Bangalore,560001,10,Higher Secondary,Married,5,Full-Time
Jatin Badal,51,Female,Carpentry,461-604,Kolkata,700001,4,Primary,Widowed,0,Seasonal
Divya Patil,49,Male,Decorating,525-693,Ahmedabad,380001,19,Higher Secondary,Single,1,Seasonal
Ayushman Nath,60,Female,Welding,312-468,Hyderabad,500001,13,Higher Secondary,Widowed,2,Seasonal
Ryan Murty,58,Female,Gardening,535-724,Pune,411001,9,Secondary,Married,5,Part-Time
Amara Bhasin,20,Female,Plumbing,536-672,Kolkata,700001,3,Secondary,Single,0,Full-Time
Oeshi Som,22,Female,Sewing,495-782,Ahmedabad,380001,1,Primary,Married,2,Seasonal
Hredhaan Lad,44,Female,Welding,355-483,Chennai,600001,20,Secondary,Married,3,Full-Time
Ishani Lanka,25,Male,Cooking,506-785,Jaipur,302001,1,Primary,Widowed,0,Full-Time
Daksha Krish,57,Male,Plastering,480-602,Delhi,110001,6,None,Single,1,Full-Time
Wriddhish Agate,50,Male,Painting,328-572,Chennai,600001,9,Primary,Widowed,2,Full-Time
Mugdha Chatterjee,33,Female,Plumbing,480-656,Pune,411001,14,Higher Secondary,Single,0,Seasonal
Pranit Kannan,53,Male,Decorating,535-802,Pune,411001,2,Higher Secondary,Widowed,0,Full-Time
Mohini Dora,23,Female,"Tailoring, Sewing",478-607,Hyderabad,500001,5,Higher Secondary,Widowed,1,Part-Time
Veda Bhatt,54,Male,Gardening,537-639,Pune,411001,6,Primary,Widowed,2,Seasonal
Tripti Bose,43,Female,Domestic Help,595-746,Kolkata,700001,9,Higher Secondary,Married,4,Full-Time
Champak Bera,45,Male,Gardening,448-600,Pune,411001,10,Primary,Single,2,Part-Time
Lopa Sridhar,30,Male,Carpentry,493-781,Kolkata,700001,3,Higher Secondary,Single,0,Part-Time
Bishakha Muni,26,Male,Gardening,393-500,Chennai,600001,8,Secondary,Single,0,Part-Time
Sachi Nadkarni,26,Male,Plumbing,529-687,Kolkata,700001,4,Secondary,Single,1,Seasonal
Gayathri Bose,58,Female,Carpentry,416-641,Kolkata,700001,16,Primary,Married,0,Seasonal
Sarthak Walla,38,Male,"Carpentry, Tailoring",549-702,Lucknow,226001,14,None,Single,2,Full-Time
Vaishnavi Bhatt,31,Male,Sewing,357-457,Bangalore,560001,6,Secondary,Widowed,0,Full-Time
Oeshi Sankaran,47,Female,Plumbing,438-579,Chennai,600001,9,Higher Secondary,Single,2,Part-Time
Anamika Sehgal,30,Male,Electrical Work,583-833,Hyderabad,500001,1,Higher Secondary,Married,3,Seasonal
Manbir Saha,37,Male,Decorating,490-732,Ahmedabad,380001,8,Primary,Single,1,Seasonal
Warda Shetty,40,Female,"Carpentry, Domestic Help",330-435,Kolkata,700001,3,Primary,Single,2,Full-Time
Jagdish Chakraborty,49,Male,Cooking,588-868,Mumbai,400001,13,Higher Secondary,Married,5,Seasonal
Oeshi Doshi,58,Female,"Gardening, Carpentry",505-729,Delhi,110001,16,Higher Secondary,Widowed,1,Full-Time
Yasti Varty,47,Female,Cooking,479-674,Kolkata,700001,10,Higher Secondary,Widowed,0,Part-Time
Kashish Suri,38,Male,Carpentry,354-558,Kolkata,700001,9,Secondary,Married,2,Part-Time
Jai Ramachandran,36,Female,Plastering,598-849,Kolkata,700001,18,None,Widowed,2,Full-Time
Diya Samra,60,Female,Plumbing,556-678,Mumbai,400001,10,Secondary,Married,5,Seasonal
Lajita Rama,58,Male,Plastering,442-661,Ahmedabad,380001,19,Secondary,Married,4,Seasonal
Lipika Sem,35,Female,Carpentry,470-609,Hyderabad,500001,14,Higher Secondary,Single,2,Part-Time
Zehaan Balan,19,Female,"Masonry, Gardening",336-459,Bangalore,560001,1,Secondary,Married,4,Full-Time
Udant Issac,21,Male,Carpentry,512-667,Hyderabad,500001,3,None,Married,0,Seasonal
Tripti Borah,23,Female,Electrical Work,390-619,Lucknow,226001,5,Primary,Married,5,Seasonal
Anay Suri,49,Female,Domestic Help,410-690,Bangalore,560001,1,Primary,Widowed,0,Seasonal
Ekbal Bir,38,Male,Sewing,304-551,Delhi,110001,15,None,Widowed,0,Part-Time
Zayyan Hayer,60,Male,Masonry,450-678,Lucknow,226001,14,None,Single,1,Part-Time
Pooja Madan,29,Male,"Plastering, Tailoring",511-626,Mumbai,400001,2,Higher Secondary,Married,1,Seasonal
Eshana Gade,22,Male,"Domestic Help, Plumbing",598-879,Jaipur,302001,2,Secondary,Married,0,Full-Time
Viraj Mody,18,Male,Decorating,345-467,Ahmedabad,380001,1,Secondary,Widowed,1,Full-Time
Jasmit Chandra,42,Female,Electrical Work,326-427,Bangalore,560001,9,None,Widowed,1,Full-Time
Pratyush Suresh,22,Male,Plumbing,383-543,Kolkata,700001,3,Primary,Married,6,Full-Time
Michael Ratta,40,Female,Painting,446-617,Bangalore,560001,5,Higher Secondary,Single,2,Seasonal
Ekavir Thakur,35,Female,Masonry,581-776,Kolkata,700001,14,None,Widowed,2,Full-Time
Rayaan Agate,51,Male,Domestic Help,574-783,Chennai,600001,4,Secondary,Married,4,Seasonal
Nikita Singhal,36,Female,Plastering,341-570,Mumbai,400001,19,None,Married,4,Seasonal
Advaith Varghese,35,Male,Masonry,368-522,Ahmedabad,380001,1,Secondary,Widowed,0,Part-Time
Turvi Prakash,40,Male,Decorating,462-585,Chennai,600001,9,None,Married,4,Seasonal
Chaman Thaman,56,Male,"Carpentry, Plastering",536-730,Delhi,110001,16,Primary,Widowed,1,Part-Time
Wriddhish Mohan,45,Female,"Electrical Work, Painting",589-807,Lucknow,226001,5,None,Married,5,Full-Time
Laban Chaudhary,52,Female,Decorating,571-810,Chennai,600001,11,Higher Secondary,Single,1,Part-Time
Jai Bumb,40,Female,Painting,595-750,Lucknow,226001,10,Secondary,Single,0,Seasonal
Vedant Chakraborty,44,Female,Plastering,495-769,Bangalore,560001,13,Higher Secondary,Single,1,Full-Time
Ishita Baral,36,Male,Sewing,369-627,Hyderabad,500001,19,Higher Secondary,Single,1,Part-Time
Ekalinga Dora,19,Male,Cooking,501-627,Lucknow,226001,2,Higher Secondary,Married,3,Part-Time
Anamika Mittal,18,Male,Domestic Help,475-676,Jaipur,302001,1,Primary,Single,0,Part-Time
Balveer Mutti,46,Female,Sewing,378-657,Bangalore,560001,5,None,Single,0,Full-Time
Shivansh Sami,21,Female,Decorating,540-787,Lucknow,226001,2,None,Single,0,Full-Time
Azad Mitra,36,Female,Plumbing,427-532,Lucknow,226001,8,None,Widowed,1,Part-Time
Ladli Rattan,39,Male,Welding,494-784,Bangalore,560001,15,Higher Secondary,Widowed,0,Seasonal
Charvi Contractor,42,Female,Welding,575-753,Ahmedabad,380001,16,Higher Secondary,Single,2,Part-Time
Vasatika Sinha,51,Female,Plumbing,445-574,Jaipur,302001,6,None,Widowed,1,Seasonal
Ojasvi Prakash,41,Female,"Electrical Work, Sewing",511-807,Delhi,110001,17,Higher Secondary,Single,0,Full-Time
Qarin Gara,60,Male,Tailoring,435-672,Lucknow,226001,5,Higher Secondary,Widowed,0,Seasonal
Aishani Grewal,59,Female,Plastering,400-544,Chennai,600001,2,None,Married,5,Seasonal
Dayamai Andra,22,Female,Plumbing,332-581,Kolkata,700001,4,None,Widowed,2,Full-Time
Nisha Rama,51,Male,"Carpentry, Tailoring",506-684,Delhi,110001,7,Higher Secondary,Single,0,Seasonal
Nathaniel Gill,49,Male,Cooking,515-794,Bangalore,560001,18,Higher Secondary,Married,6,Seasonal
Damini Dalal,27,Male,Sewing,348-562,Ahmedabad,380001,10,Secondary,Widowed,1,Seasonal
Chakradhar Sani,37,Male,Plumbing,470-610,Pune,411001,1,None,Married,2,Part-Time
Pushti Pillai,38,Female,Sewing,451-625,Ahmedabad,380001,13,None,Single,2,Part-Time
Wazir Bera,29,Male,Carpentry,382-501,Mumbai,400001,9,None,Widowed,2,Seasonal
Zaitra Malhotra,57,Male,Plumbing,429-587,Lucknow,226001,7,Primary,Married,2,Full-Time
Yahvi Kunda,36,Female,Gardening,541-669,Delhi,110001,8,None,Married,5,Part-Time
Yuvraj Kibe,45,Male,Plastering,395-691,Delhi,110001,20,None,Single,2,Seasonal
Ishwar Sibal,29,Female,"Sewing, Gardening",525-662,Pune,411001,11,Secondary,Single,0,Part-Time
Gabriel Deo,42,Female,Electrical Work,587-875,Lucknow,226001,20,Higher Secondary,Married,6,Part-Time
Ekapad Ravi,33,Female,Tailoring,525-731,Pune,411001,12,Higher Secondary,Single,1,Part-Time
Nisha Morar,31,Male,Tailoring,586-735,Chennai,600001,4,Secondary,Married,0,Part-Time
Vivaan Kota,28,Male,Welding,310-504,Kolkata,700001,1,Secondary,Married,5,Full-Time
Elijah Korpal,40,Male,Cooking,574-696,Jaipur,302001,2,Higher Secondary,Married,3,Part-Time
Jalsa Doctor,38,Male,Cooking,368-668,Chennai,600001,5,Higher Secondary,Single,0,Full-Time
Elijah Sarna,30,Male,Carpentry,421-524,Hyderabad,500001,13,Higher Secondary,Widowed,2,Full-Time
Aarna Prabhu,21,Female,Domestic Help,307-516,Kolkata,700001,4,None,Widowed,1,Part-Time
Onkar Ramaswamy,33,Female,Carpentry,586-741,Chennai,600001,2,Higher Secondary,Single,1,Seasonal
Ati Karpe,18,Male,Plumbing,420-716,Kolkata,700001,1,None,Single,1,Full-Time
Balhaar Sur,50,Female,Gardening,416-642,Kolkata,700001,16,Secondary,Married,5,Part-Time
Quincy Chand,58,Male,Electrical Work,445-555,Pune,411001,15,Primary,Widowed,0,Part-Time
Qushi Mittal,45,Male,Plastering,570-718,Ahmedabad,380001,19,None,Single,2,Part-Time
Gautami Sekhon,37,Male,Tailoring,324-539,Lucknow,226001,9,Primary,Widowed,1,Part-Time
Ekta Chanda,52,Female,Carpentry,341-479,Jaipur,302001,11,Higher Secondary,Married,6,Full-Time
Manya Pradhan,32,Male,Carpentry,434-550,Bangalore,560001,8,Higher Secondary,Single,1,Full-Time
Vedhika Mand,43,Female,Cooking,406-519,Kolkata,700001,18,Secondary,Single,0,Full-Time
Unnati Sarna,52,Female,"Tailoring, Plumbing",414-560,Delhi,110001,19,Secondary,Married,5,Seasonal
Upma Rajan,20,Female,Electrical Work,553-707,Pune,411001,3,None,Widowed,1,Part-Time
Amaira Dani,39,Male,"Masonry, Tailoring",366-537,Bangalore,560001,1,Primary,Widowed,2,Seasonal
Riya Lad,36,Female,Carpentry,573-724,Lucknow,226001,11,Higher Secondary,Widowed,2,Full-Time
Ayushman Chatterjee,49,Male,"Carpentry, Gardening",508-721,Mumbai,400001,12,Secondary,Married,2,Full-Time
Arya Banik,44,Female,Decorating,560-684,Chennai,600001,12,Secondary,Single,1,Full-Time
Mitesh Aurora,50,Male,"Electrical Work, Carpentry",559-856,Lucknow,226001,9,Secondary,Single,1,Full-Time
Harrison Deo,26,Male,Decorating,459-750,Pune,411001,8,Primary,Widowed,2,Part-Time
Chakrika Raja,18,Female,Tailoring,496-599,Bangalore,560001,1,Higher Secondary,Single,1,Seasonal
Yatan Sachdeva,56,Female,Welding,450-596,Ahmedabad,380001,20,Higher Secondary,Married,4,Full-Time
Logan Devi,28,Female,"Painting, Plumbing",556-810,Kolkata,700001,7,Secondary,Single,2,Seasonal
Warjas Natarajan,25,Female,Domestic Help,371-526,Bangalore,560001,1,Primary,Married,1,Part-Time
Wridesh Divan,55,Female,Welding,600-715,Bangalore,560001,8,Higher Secondary,Single,1,Part-Time
Widisha Palla,25,Female,"Gardening, Painting",454-637,Lucknow,226001,2,Secondary,Widowed,2,Seasonal
Saanvi Sekhon,37,Male,Welding,401-514,Hyderabad,500001,13,None,Widowed,2,Full-Time
Ijaya Bali,25,Male,Painting,514-726,Jaipur,302001,7,Secondary,Married,2,Seasonal
Advik Sandhu,54,Male,"Decorating, Decorating",448-584,Hyderabad,500001,12,Primary,Widowed,1,Seasonal
Rayaan Mahajan,29,Male,Domestic Help,351-588,Ahmedabad,380001,3,Secondary,Single,2,Part-Time
Isha Lanka,60,Male,Cooking,600-782,Ahmedabad,380001,2,Primary,Married,3,Part-Time
Finn Kalita,31,Female,Domestic Help,540-838,Pune,411001,11,Higher Secondary,Married,3,Part-Time
Suhani Thakkar,52,Male,Masonry,548-762,Kolkata,700001,17,None,Widowed,1,Seasonal
Rishi Sandal,49,Male,Welding,503-668,Pune,411001,17,None,Married,1,Part-Time
Rishi Vig,38,Male,Plumbing,445-669,Kolkata,700001,12,None,Widowed,0,Seasonal
Shivansh Vyas,42,Male,Tailoring,513-719,Kolkata,700001,16,Secondary,Widowed,1,Full-Time
Indira Chana,27,Female,Domestic Help,412-594,Pune,411001,9,Higher Secondary,Widowed,1,Seasonal
Girindra Konda,21,Male,Carpentry,521-729,Bangalore,560001,3,Higher Secondary,Widowed,0,Seasonal
Aachal Amble,32,Male,Carpentry,507-720,Lucknow,226001,15,Primary,Single,1,Seasonal
Neha Sarraf,22,Male,Tailoring,446-698,Pune,411001,2,Secondary,Single,1,Part-Time
Elijah Roy,56,Female,Domestic Help,563-719,Lucknow,226001,14,Secondary,Widowed,0,Part-Time
Ayushman Mallick,54,Female,Cooking,383-645,Ahmedabad,380001,20,Higher Secondary,Single,0,Part-Time
Falan Devan,21,Female,Tailoring,484-672,Jaipur,302001,1,Secondary,Single,0,Seasonal
Gautam Patla,38,Female,Welding,526-749,Kolkata,700001,8,Higher Secondary,Married,0,Part-Time
Siddharth Ganguly,41,Female,Gardening,377-612,Kolkata,700001,8,None,Single,1,Part-Time
Netra Varma,38,Female,Painting,393-511,Bangalore,560001,3,Higher Secondary,Single,2,Part-Time
Vansha Ram,56,Male,"Plastering, Electrical Work",375-530,Mumbai,400001,13,Secondary,Married,3,Part-Time
Leela Hayre,41,Male,Cooking,338-626,Pune,411001,13,Primary,Married,1,Part-Time
Manan Merchant,42,Female,Carpentry,588-884,Lucknow,226001,4,Secondary,Single,0,Full-Time
Neha Walla,57,Female,"Domestic Help, Cooking",332-437,Pune,411001,14,Secondary,Married,5,Part-Time
Mohammed Sood,22,Female,Tailoring,479-586,Hyderabad,500001,4,Primary,Married,6,Part-Time
Ayushman Prasad,22,Male,"Plumbing, Masonry",355-542,Mumbai,400001,3,Higher Secondary,Married,0,Seasonal
Oni Ghose,22,Male,"Painting, Sewing",348-576,Hyderabad,500001,2,Higher Secondary,Married,2,Full-Time
Rajeshri Divan,20,Female,Cooking,552-832,Ahmedabad,380001,2,None,Married,3,Part-Time
Liam Borra,31,Female,Decorating,521-792,Lucknow,226001,13,Higher Secondary,Widowed,2,Seasonal
Eshana Chatterjee,39,Female,Gardening,474-585,Lucknow,226001,8,None,Widowed,1,Part-Time
Yashoda Tella,21,Female,"Painting, Plastering",487-715,Kolkata,700001,1,Higher Secondary,Single,0,Seasonal
Advika Jani,38,Male,"Cooking, Decorating",524-744,Ahmedabad,380001,6,None,Married,4,Seasonal
Sai Devi,54,Male,"Tailoring, Plumbing",349-596,Jaipur,302001,20,None,Married,0,Full-Time
Harini Ranganathan,42,Female,Domestic Help,585-695,Delhi,110001,18,None,Married,1,Full-Time
Mahika Padmanabhan,19,Female,Carpentry,533-827,Ahmedabad,380001,2,Secondary,Widowed,1,Seasonal
Manya Dar,49,Male,"Gardening, Carpentry",469-683,Kolkata,700001,4,Higher Secondary,Married,0,Seasonal
Manan Koshy,40,Male,Sewing,592-845,Bangalore,560001,5,Secondary,Single,1,Seasonal
Rajata Sabharwal,52,Female,"Domestic Help, Gardening",591-753,Hyderabad,500001,5,None,Single,2,Seasonal
Charita Balakrishnan,21,Male,Electrical Work,368-648,Hyderabad,500001,1,Higher Secondary,Widowed,2,Part-Time
Rajeshri Mandal,59,Female,Plumbing,575-759,Pune,411001,18,Primary,Married,5,Seasonal
Simon Kapur,31,Male,"Cooking, Gardening",592-721,Delhi,110001,13,Secondary,Married,4,Part-Time
Yachana Sahota,56,Female,Cooking,483-614,Mumbai,400001,10,Secondary,Married,3,Seasonal
Lekha Chandra,56,Female,Masonry,373-563,Ahmedabad,380001,2,Primary,Single,2,Full-Time
Amol Choudhury,21,Male,Cooking,472-766,Chennai,600001,4,Higher Secondary,Married,0,Seasonal
Ishani Yohannan,45,Female,Masonry,468-723,Bangalore,560001,20,Primary,Married,3,Part-Time
Ladli Som,57,Female,Gardening,330-568,Hyderabad,500001,1,Primary,Married,4,Part-Time
Gunbir Om,37,Female,Sewing,365-599,Pune,411001,20,Secondary,Widowed,0,Full-Time
Rushil Puri,31,Male,"Masonry, Carpentry",563-848,Lucknow,226001,9,Primary,Widowed,2,Full-Time
Vrishti Prashad,36,Female,Domestic Help,446-679,Jaipur,302001,8,None,Married,4,Seasonal
Timothy Zachariah,36,Male,Carpentry,583-810,Ahmedabad,380001,18,Higher Secondary,Widowed,0,Seasonal
Abhimanyu Wagle,21,Male,Domestic Help,461-713,Ahmedabad,380001,2,None,Married,0,Part-Time
Pahal Mistry,49,Male,Plastering,487-655,Ahmedabad,380001,3,None,Married,1,Full-Time
Karan Sagar,38,Female,Gardening,425-603,Kolkata,700001,1,Primary,Single,0,Full-Time
Gopal Prashad,39,Male,Electrical Work,437-728,Lucknow,226001,19,Higher Secondary,Widowed,0,Seasonal
Kala Balay,20,Male,Plastering,391-539,Bangalore,560001,3,Primary,Single,2,Part-Time
Ayaan Sengupta,28,Male,Domestic Help,480-676,Bangalore,560001,9,None,Widowed,0,Part-Time
Jai Zacharia,25,Female,Cooking,488-687,Chennai,600001,4,Primary,Single,2,Full-Time
Garima Mahal,35,Male,Cooking,318-595,Chennai,600001,15,Secondary,Married,3,Part-Time
Elijah Balay,56,Male,"Decorating, Masonry",466-594,Hyderabad,500001,1,Primary,Widowed,0,Seasonal
Imaran Shetty,23,Female,"Electrical Work, Decorating",503-682,Mumbai,400001,3,Higher Secondary,Widowed,1,Full-Time
Yutika Deshpande,20,Female,Welding,333-531,Lucknow,226001,1,Secondary,Single,0,Part-Time
Anirudh Mukhopadhyay,54,Female,Welding,563-803,Chennai,600001,5,Secondary,Widowed,2,Full-Time
Samesh Choudhry,39,Male,Tailoring,337-615,Ahmedabad,380001,11,Higher Secondary,Married,2,Full-Time
Chaitaly Bora,20,Female,Carpentry,539-687,Lucknow,226001,1,Higher Secondary,Married,2,Seasonal
Lipika Sule,23,Male,Painting,312-512,Pune,411001,3,Secondary,Married,4,Seasonal
Pooja Trivedi,48,Female,Masonry,315-615,Hyderabad,500001,12,None,Married,0,Seasonal
Vincent Swaminathan,50,Male,Sewing,370-527,Ahmedabad,380001,17,None,Single,0,Part-Time
Peter Devi,23,Male,Tailoring,340-501,Mumbai,400001,5,Primary,Single,1,Full-Time
Lipika Dave,47,Male,Decorating,536-742,Chennai,600001,8,Secondary,Single,2,Part-Time
Faras Ravi,45,Male,Carpentry,416-657,Hyderabad,500001,14,Secondary,Single,0,Part-Time
Yutika Srivastava,25,Male,Tailoring,600-705,Lucknow,226001,5,Primary,Single,1,Part-Time
Saksham Saxena,21,Male,Gardening,338-496,Lucknow,226001,3,Higher Secondary,Married,3,Part-Time
Harish Anne,21,Male,"Carpentry, Cooking",502-706,Hyderabad,500001,2,Secondary,Widowed,0,Seasonal
Nandini Varkey,51,Female,Cooking,526-825,Bangalore,560001,5,Primary,Widowed,0,Part-Time
Faris Grewal,25,Female,Carpentry,396-567,Ahmedabad,380001,2,Secondary,Widowed,2,Full-Time
Kamala Patla,24,Male,Electrical Work,421-540,Hyderabad,500001,7,None,Single,0,Part-Time
Imaran Sridhar,28,Male,Painting,370-496,Pune,411001,1,Secondary,Married,1,Seasonal
Krish Khosla,46,Male,Welding,499-660,Chennai,600001,9,None,Married,3,Part-Time
Ladli Thakkar,58,Female,Tailoring,420-698,Pune,411001,13,Higher Secondary,Married,5,Part-Time
Christopher Sama,24,Female,Welding,386-581,Chennai,600001,5,Higher Secondary,Married,3,Full-Time
Zilmil Uppal,48,Male,Plumbing,592-803,Mumbai,400001,19,Secondary,Widowed,1,Full-Time
Naksh Kumer,25,Male,Masonry,344-554,Lucknow,226001,1,Primary,Widowed,0,Full-Time
Ranveer Sharaf,27,Female,Plastering,334-577,Jaipur,302001,4,Secondary,Single,0,Seasonal
Bimala Seshadri,39,Female,Masonry,567-714,Chennai,600001,12,Higher Secondary,Widowed,2,Part-Time
Pooja Master,57,Male,Electrical Work,355-482,Ahmedabad,380001,17,None,Single,0,Full-Time
Gauri Batta,41,Female,Painting,552-727,Delhi,110001,6,Secondary,Single,0,Part-Time
Abdul Mahajan,57,Male,Masonry,461-648,Chennai,600001,10,Higher Secondary,Married,2,Seasonal
Pooja Master,37,Female,Welding,367-510,Ahmedabad,380001,19,Primary,Single,0,Full-Time
Anmol Edwin,52,Male,"Gardening, Sewing",547-747,Chennai,600001,16,Higher Secondary,Single,0,Seasonal
Bhavani Sodhi,32,Female,Carpentry,317-505,Jaipur,302001,13,None,Single,1,Part-Time
Wridesh Chander,47,Female,Tailoring,318-543,Kolkata,700001,18,Higher Secondary,Widowed,0,Part-Time
Vanya Johal,46,Male,Carpentry,400-661,Mumbai,400001,18,Primary,Single,2,Full-Time
Rayaan Pai,43,Male,Domestic Help,498-667,Jaipur,302001,9,Higher Secondary,Married,3,Full-Time
Abdul Sheth,53,Male,Cooking,398-578,Chennai,600001,12,None,Widowed,0,Full-Time
Ansh Tripathi,36,Male,"Carpentry, Welding",348-626,Pune,411001,9,Higher Secondary,Single,2,Part-Time
Lopa Nagarajan,48,Female,Welding,520-796,Delhi,110001,16,Primary,Married,5,Part-Time
Vritti Borra,55,Female,Domestic Help,540-677,Lucknow,226001,12,Primary,Widowed,2,Seasonal
Ayush Badal,54,Male,Decorating,496-795,Lucknow,226001,3,None,Single,1,Part-Time
Harrison Chowdhury,51,Male,Sewing,340-450,Lucknow,226001,1,None,Married,4,Part-Time
Tanish Narasimhan,51,Male,Masonry,441-554,Delhi,110001,7,Higher Secondary,Married,3,Part-Time
Tamanna Som,39,Male,Plastering,415-592,Chennai,600001,17,Primary,Single,1,Seasonal
Finn Gandhi,33,Male,Plumbing,594-799,Hyderabad,500001,8,None,Widowed,1,Part-Time
Libni Nagar,53,Female,Painting,553-788,Pune,411001,5,Higher Secondary,Single,0,Full-Time
Timothy Mody,25,Female,Tailoring,529-731,Pune,411001,2,Primary,Married,4,Full-Time
Rajata Mane,24,Male,Domestic Help,598-848,Hyderabad,500001,7,Primary,Single,0,Full-Time
Jackson Patel,25,Female,Carpentry,481-645,Pune,411001,1,Primary,Widowed,1,Full-Time
Urishilla Rai,55,Female,Decorating,458-677,Ahmedabad,380001,19,None,Married,0,Seasonal
Netra Iyengar,24,Female,Decorating,410-550,Pune,411001,4,Primary,Widowed,0,Full-Time
Amara Gopal,47,Male,Decorating,509-777,Ahmedabad,380001,12,Secondary,Married,4,Full-Time
Fitan Sunder,37,Male,Electrical Work,440-669,Hyderabad,500001,11,Secondary,Single,2,Part-Time
Caleb Kaul,46,Female,Cooking,343-605,Hyderabad,500001,3,Primary,Single,2,Full-Time
Samarth Lalla,43,Male,"Decorating, Sewing",534-686,Ahmedabad,380001,19,Primary,Widowed,1,Part-Time
